Gene name	Transcript length (including UTRs and CDS)
SYCP2	5479
ZNF598	3382
ZNF598	3371
ZNF598	4457
ZNF598	815
ZNF598	2717
ZNF598	889
ZNF598	2147
ZNF598	786
ZNF598	775
PRSS1	803
PRSS1	1433
PRSS1	800
PRSS1	581
PRSS1	626
PRSS1	1260
PRSS1	787
BTNL2	1462
BTNL2	846
BTNL2	333
BTNL2	845
BTNL2	738
BTNL2	1368
CACNB3	477
CACNB3	754
CACNB3	1814
CACNB3	929
CACNB3	4029
CACNB3	1872
CACNB3	581
CACNB3	544
CACNB3	677
CACNB3	557
CACNB3	746
CACNB3	564
CACNB3	549
CACNB3	904
CACNB3	2237
CACNB3	2696
CACNB3	576
CACNB3	586
CACNB3	2395
CACNB3	2825
CACNB3	1712
CACNB3	424
CACNB3	730
CACNB3	927
COX20	2631
COX20	568
COX20	1005
COX20	2290
COX20	2616
APOBEC4	2650
APOBEC4	476
KIR3DL3	1691
COLGALT2	2412
COLGALT2	2148
COLGALT2	4723
COLGALT2	5177
COLGALT2	2325
THBS4	573
THBS4	564
THBS4	3222
THBS4	3094
THBS4	612
THBS4	853
THBS4	558
ZNF507	7638
ZNF507	5560
ZNF507	5764
ZNF507	3194
ZNF507	1102
CCDC24	2654
CCDC24	1463
CCDC24	773
CCDC24	1230
CCDC24	1659
CCDC24	728
CCDC24	860
CCDC24	982
CCDC24	697
CCDC24	789
CCDC24	400
SH3BGR	1014
SH3BGR	816
SH3BGR	812
SH3BGR	585
SH3BGR	780
SH3BGR	1251
SH3BGR	865
SH3BGR	246
SH3BGR	512
RPS18	613
RPS18	589
RPS18	639
RPS18	685
RPS18	642
RPS18	996
RPS18	1109
RPS18	413
TSEN15	1986
TSEN15	1844
TSEN15	1967
TSEN15	812
TSEN15	2219
TSEN15	1834
TSEN15	2368
TSEN15	996
TSEN15	609
TSEN15	730
TSEN15	1639
TSEN15	1521
TSEN15	2247
TSEN15	1628
TSEN15	584
TSEN15	1110
TSEN15	2237
TSEN15	1101
TSEN15	417
TSEN15	2690
TMEM218	1828
TMEM218	4547
TMEM218	1117
TMEM218	857
TMEM218	954
TMEM218	1103
TMEM218	1034
TMEM218	773
TMEM218	972
TMEM218	812
TMEM218	734
TMEM218	848
TMEM218	706
TMEM218	910
TMEM218	873
TMEM218	584
TMEM218	553
WRB	1178
WRB	1437
WRB	1427
WRB	1616
WRB	1534
WRB	1392
WRB	2255
WRB	3147
WRB	537
WRB	581
WRB	1292
WRB	699
WRB	1437
WRB	541
WRB	768
WRB	1464
WRB	1416
WRB	2029
WRB	923
WRB	624
WRB	366
WRB	2093
WRB	461
WRB	321
KIR2DL3	1579
DHRS1	528
DHRS1	1181
DHRS1	719
DHRS1	1480
DHRS1	2660
DHRS1	1470
DHRS1	1623
DHRS1	2027
DHRS1	629
DHRS1	565
DHRS1	609
SLC6A4	6543
SLC6A4	1069
SLC6A4	566
SLC6A4	2160
SLC6A4	6604
VPS52	3338
VPS52	2960
VPS52	2602
VPS52	743
VPS52	878
VPS52	505
VPS52	547
VPS52	786
VPS52	453
VPS52	925
VPS52	1060
CRYZ	1592
CRYZ	1888
CRYZ	2899
CRYZ	1292
CRYZ	888
CRYZ	677
CRYZ	2301
DCAF5	5953
DCAF5	4803
DCAF5	2791
DCAF5	2883
DCAF5	869
DCAF5	728
DCAF5	2837
DCAF5	759
DCAF5	736
SHC1	3472
SHC1	3481
SHC1	2879
SHC1	3062
SHC1	3059
SHC1	727
SHC1	1305
SHC1	780
SHC1	550
SHC1	692
SHC1	780
C1orf21	10265
C1orf21	3072
C1orf21	426
C1orf21	644
C1orf21	399
DPY19L3	2456
DPY19L3	500
DPY19L3	5925
DPY19L3	6015
DPY19L3	529
DPY19L3	882
DPY19L3	3589
DPY19L3	5968
DPY19L3	556
DPY19L3	546
DPY19L3	546
DPY19L3	5998
KIR3DL1	1658
KIR3DL1	1810
FAM161A	3579
FAM161A	4027
FAM161A	3762
FAM161A	3684
FAM161A	630
FAM161A	699
FAM161A	1897
EDEM3	6898
EDEM3	2872
EDEM3	491
EDEM3	1911
EDEM3	487
EDEM3	6678
RASEF	5576
RASEF	1765
ITLN1	1183
ITLN1	592
ITLN1	498
TYW3	3430
TYW3	1130
TYW3	708
TYW3	513
TYW3	632
TYW3	551
TYW3	653
TYW3	3335
FGR	2729
FGR	2350
FGR	2021
FGR	1104
FGR	679
FGR	781
FGR	2483
FAM129A	602
FAM129A	6928
FAM129A	3118
FAM129A	904
FAM129A	521
PHF19	4113
PHF19	4241
PHF19	1092
PHF19	550
PHF19	553
PHF19	566
PHF19	565
PHF19	578
PHF19	506
PHF19	556
PHF19	558
PHF19	836
PHF19	888
PHF19	3525
KIR2DL4	1536
ILF3	4230
ILF3	3671
ILF3	2622
ILF3	839
ILF3	599
ILF3	953
ILF3	413
ILF3	791
ILF3	637
ILF3	3035
ILF3	3866
ILF3	2697
ILF3	3219
ILF3	533
ILF3	655
ILF3	773
ILF3	849
ILF3	620
ILF3	570
ILF3	475
ILF3	531
ILF3	2579
ILF3	3859
ILF3	6119
ITLN2	1151
ITLN2	884
ITLN2	591
RNF2	3606
RNF2	1677
RNF2	631
RNF2	939
LHX8	2373
LHX8	1764
LHX8	2244
KIR2DL1	1320
TEAD2	2191
TEAD2	2141
TEAD2	2167
TEAD2	2164
TEAD2	2440
TEAD2	1444
TEAD2	566
TEAD2	581
TEAD2	579
TEAD2	209
GALNT16	630
GALNT16	579
GALNT16	604
GALNT16	5708
GALNT16	5548
GALNT16	2270
GALNT16	1629
GALNT16	520
GALNT16	568
GALNT16	340
TRMT1L	4392
TRMT1L	706
TRMT1L	735
TRMT1L	619
AL591806.3	2096
AL591806.3	813
C6orf10	2173
C6orf10	2148
C6orf10	2125
C6orf10	2179
C6orf10	2173
C6orf10	2131
C6orf10	1904
TSTD1	591
TSTD1	626
TSTD1	574
TSTD1	457
TSTD1	593
TSTD1	477
TSTD1	813
USP10	3009
USP10	888
USP10	571
USP10	254
USP10	570
USP10	3070
USP10	561
USP10	569
USP10	1315
USP10	2717
USP10	590
USP10	730
USP10	502
USP10	575
USP10	574
USP10	540
USP10	465
USP10	572
USP10	330
F11R	4835
F11R	1245
F11R	577
F11R	571
F11R	558
F11R	4770
HTR2B	2246
SWT1	3001
SWT1	3830
SWT1	633
VSTM1	1015
VSTM1	922
VSTM1	575
VSTM1	654
VSTM1	608
AC012314.21	353
NLRP2	3542
NLRP2	3573
NLRP2	3507
NLRP2	3504
TXLNB	4753
TXLNB	398
FCAR	609
FCAR	1063
FCAR	1432
FCAR	628
FCAR	2431
FCAR	608
FCAR	830
FCAR	654
FCAR	876
FCAR	762
FCAR	754
FCAR	828
FCAR	537
EMC10	2178
EMC10	180
EMC10	2014
EMC10	9446
EMC10	1610
EMC10	1926
EMC10	462
EMC10	859
KIR3DL1	1860
KIR3DL1	1810
KIR2DL4	1581
KIR2DS4	1850
MTX1	1632
MTX1	1441
MTX1	946
MTX1	1085
MTX1	2579
MTX1	935
MTX1	727
AC034102.2	489
PA2G4	2577
PA2G4	1085
PA2G4	687
PA2G4	694
PA2G4	520
PA2G4	289
PA2G4	779
AL713999.1	753
H2AFZ	1843
H2AFZ	1880
H2AFZ	979
H2AFZ	1254
H2AFZ	726
H2AFZ	435
SLC44A1	9640
SLC44A1	10433
SLC44A1	10511
SLC44A1	3088
SLC44A1	586
SLC44A1	558
SLC44A1	576
VPS37C	2865
VPS37C	506
VPS37C	915
VPS37C	865
RPS27L	244
RPS27L	6434
RPS27L	681
RPS27L	923
RPS27L	693
RPS27L	2944
RPS27L	528
RPS27L	970
IFNGR1	2139
IFNGR1	2136
IFNGR1	2125
IFNGR1	1964
IFNGR1	2123
IFNGR1	1948
IFNGR1	2183
IFNGR1	2519
IFNGR1	2492
IFNGR1	753
IFNGR1	748
IFNGR1	643
TAP2	5684
TAP2	2497
TAP2	849
TAP2	274
TAP2	5676
TMEM17	1797
TMEM17	2136
TMEM17	2460
ADM2	4276
ADM2	535
RIN3	3859
RIN3	2814
RIN3	517
RIN3	856
RIN3	3592
RIN3	390
RIN3	317
RIN3	865
RIN3	577
RIN3	4079
RIN3	687
RIN3	3617
PTH2	459
OR2T35	2957
OR2T35	972
GRIK5	2370
GRIK5	3493
GRIK5	3308
GRIK5	389
GRIK5	3310
GRIK5	2101
PYGO2	3146
PYGO2	1306
PYGO2	594
SLC6A9	2162
SLC6A9	1926
SLC6A9	3130
SLC6A9	1881
SLC6A9	2330
SLC6A9	2168
SLC6A9	592
SLC6A9	524
SLC6A9	930
SLC6A9	591
SLC6A9	508
PMVK	1280
AL451007.3	1065
RABAC1	662
RABAC1	653
RABAC1	628
RABAC1	821
RABAC1	530
RABAC1	725
RABAC1	728
RABAC1	759
RABAC1	771
RABAC1	799
AC092143.1	2776
POLR1C	576
POLR1C	1221
POLR1C	1355
POLR1C	1725
POLR1C	569
POLR1C	1119
POLR1C	1275
POLR1C	1085
POLR1C	1280
POLR1C	2444
POLR1C	1786
POLR1C	2118
POLR1C	1334
POLR1C	973
POLR1C	1962
POLR1C	418
POLR1C	1882
CMYA5	12847
CMYA5	4562
CMYA5	655
APOA1	940
APOA1	932
APOA1	927
APOA1	1088
APOA1	1227
EBF1	4695
EBF1	4735
EBF1	5127
EBF1	5250
EBF1	602
EBF1	2345
EBF1	2277
EBF1	1911
EBF1	766
EBF1	490
EBF1	4430
USP45	5826
USP45	5319
USP45	6255
USP45	2514
USP45	801
USP45	1741
USP45	622
USP45	658
USP45	715
USP45	1444
USP45	1617
USP45	782
USP45	469
EP400	2588
EP400	3092
EP400	12836
EP400	3129
EP400	3908
EP400	4314
EP400	3134
EP400	2403
EP400	12317
PLEKHM2	4122
PLEKHM2	4004
PLEKHM2	509
PLEKHM2	3775
PLEKHM2	1057
PUS1	1664
PUS1	4094
PUS1	1206
PUS1	2151
PUS1	631
PUS1	836
PUS1	577
PUS1	687
PUS1	838
PUS1	642
PUS1	1378
ALDH6A1	5499
ALDH6A1	2221
ALDH6A1	1869
ALDH6A1	1382
ALDH6A1	1323
ALDH6A1	580
ALDH6A1	726
HOMER1	5881
HOMER1	755
HOMER1	774
HOMER1	815
HOMER1	642
ULK1	5310
ULK1	959
ULK1	307
ULK1	1262
ULK1	1211
ULK1	1678
ULK1	2145
MTRNR2L11	1552
COQ6	1608
COQ6	1486
COQ6	1455
COQ6	2118
COQ6	1244
COQ6	1013
COQ6	649
COQ6	564
COQ6	933
COQ6	576
COQ6	558
COQ6	1242
COQ6	737
COQ6	864
COQ6	1118
COQ6	1132
COQ6	3119
COQ6	1687
COQ6	482
COQ6	1538
MAP2K6	13400
MAP2K6	1542
MAP2K6	1851
MAP2K6	669
MAP2K6	632
MAP2K6	1512
MAP2K6	3076
MAP2K6	431
MAP2K6	1509
QSOX1	9311
QSOX1	1075
QSOX1	2519
QSOX1	893
ANP32D	960
MTFR2	1524
MTFR2	1586
MTFR2	1793
MTFR2	437
MTFR2	833
MTFR2	540
MTFR2	535
TOR1AIP1	3685
TOR1AIP1	3044
TOR1AIP1	8704
TOR1AIP1	3397
TOR1AIP1	579
TOR1AIP1	593
TOR1AIP1	587
TOR1AIP1	486
TOR1AIP1	830
TOR1AIP1	475
TOR1AIP1	544
TOR1AIP1	888
ZNF641	7819
ZNF641	1856
ZNF641	1823
ZNF641	442
ZNF641	315
ZNF641	290
ZNF641	575
ZNF641	555
ZNF641	556
ZNF641	4544
LRRIQ3	1085
LRRIQ3	2673
LRRIQ3	4524
LRRIQ3	795
LRRIQ3	793
LRRIQ3	372
LRRIQ3	289
LRRIQ3	1591
LRRIQ3	3614
LRRIQ3	2849
GPSM3	1460
GPSM3	1417
GPSM3	1476
GPSM3	1456
GPSM3	1177
GFER	517
GFER	2345
GFER	482
GFER	1365
GFER	483
MAS1	9841
IFT81	3048
IFT81	2710
IFT81	3108
IFT81	1171
IFT81	2694
IFT81	549
IFT81	558
IFT81	484
IFT81	2829
WDR34	1755
WDR34	801
WDR34	739
WDR34	714
WDR34	1039
WDR34	745
BRSK1	2977
BRSK1	545
BRSK1	3079
BRSK1	1104
BRSK1	556
BRSK1	2095
BRSK1	540
BRSK1	547
TRAF2	709
TRAF2	823
TRAF2	2264
TRAF2	680
TRAF2	380
TRAF2	852
TRAF2	308
TRAF2	233
MMS22L	8643
MMS22L	3949
MMS22L	334
MMS22L	3083
MMS22L	966
MMS22L	436
MMS22L	2245
MMS22L	8380
MMS22L	732
MMS22L	435
MMS22L	5907
MMS22L	721
CCDC200	912
CCDC200	736
CCDC200	677
CCDC200	966
CCDC200	630
CCDC200	676
CCDC200	581
CCDC200	655
CCDC200	718
CCDC200	649
CCDC200	337
CCDC200	689
CCDC200	438
CCDC200	391
CCDC200	874
CCDC200	705
PNMA1	2590
C5orf52	686
FASTKD3	2402
FASTKD3	819
FASTKD3	637
FASTKD3	1551
FASTKD3	2229
FASTKD3	518
FASTKD3	817
FASTKD3	597
PTPRB	12316
PTPRB	6583
PTPRB	5839
PTPRB	5839
PTPRB	6110
PTPRB	552
PTPRB	5291
PTPRB	4237
PTPRB	2661
PTPRB	2373
PTPRB	639
NCR1	720
LYST	13480
LYST	8293
LYST	547
LYST	718
LYST	866
LYST	542
LYST	7069
LYST	452
LYST	5220
LYST	951
LYST	1140
LYST	12985
NDUFAF4	2399
NDUFAF4	555
NDUFAF4	624
CEACAM5	2451
CEACAM5	2874
CEACAM5	579
CEACAM5	1430
CEACAM5	2354
CEACAM5	423
CEACAM5	581
CEACAM5	2228
CEACAM5	1694
CEACAM5	1160
NSD1	470
NSD1	533
NSD1	585
NSD1	1414
NSD1	12892
NSD1	809
NSD1	7688
NSD1	1117
NSD1	1286
NSD1	442
NSD1	561
NSD1	578
NSD1	561
NSD1	519
NSD1	513
NSD1	574
NSD1	12195
FUT9	1165
FUT9	12783
CRP	2015
CRP	769
CRP	787
CRP	512
CRP	334
CRP	667
CRP	1063
C1orf43	1760
C1orf43	1708
C1orf43	1861
C1orf43	1551
C1orf43	1610
C1orf43	1287
C1orf43	1163
C1orf43	456
C1orf43	441
C1orf43	1278
C1orf43	872
SLC2A3	3915
SLC2A3	383
SLC2A3	4414
SLC2A3	1030
SLC2A3	870
SLC2A3	943
SLC2A3	1784
SLC2A3	577
SLC2A3	589
SLC2A3	763
SLC2A3	590
CLCN2	3290
CLCN2	3187
CLCN2	3236
CLCN2	2910
CLCN2	3019
CLCN2	1844
CLCN2	4615
CLCN2	4378
CLCN2	2897
CLCN2	2820
CLCN2	1545
CLCN2	557
CLCN2	626
CLCN2	2010
CLCN2	2118
CLCN2	287
CLCN2	938
CLCN2	1395
CLCN2	733
CLCN2	1652
CLCN2	407
CLCN2	601
IRF2BP2	4615
IRF2BP2	4663
IRF2BP2	683
PABPC1	608
PABPC1	971
PABPC1	3485
PABPC1	2401
PABPC1	2331
PABPC1	818
PABPC1	487
PABPC1	736
PABPC1	676
PABPC1	560
PABPC1	771
PABPC1	694
PABPC1	667
PABPC1	851
PABPC1	885
PABPC1	522
PABPC1	631
PABPC1	628
PABPC1	754
PABPC1	593
PABPC1	492
PABPC1	493
PABPC1	453
PABPC1	1569
GSTM3	1565
GSTM3	783
GSTM3	742
GSTM3	1118
GSTM3	4046
GSTM3	678
SQSTM1	921
SQSTM1	842
SQSTM1	2405
SQSTM1	1722
SQSTM1	628
SQSTM1	562
SQSTM1	532
SQSTM1	2986
SQSTM1	578
SQSTM1	572
SQSTM1	602
SQSTM1	1714
SQSTM1	2253
SQSTM1	656
SQSTM1	808
SQSTM1	274
EPS8L3	2130
EPS8L3	2325
EPS8L3	1971
EPS8L3	449
EPS8L3	351
EPS8L3	468
EPS8L3	1806
EPS8L3	353
EPS8L3	630
EPS8L3	493
UBC	3745
UBC	1303
UBC	2688
UBC	582
UBC	622
UBC	548
UBC	563
UBC	477
UBC	559
UBC	627
UBC	582
UBC	624
UBC	517
UBC	718
OR6N2	3455
OR6N2	954
SIPA1L2	6690
SIPA1L2	2937
SIPA1L2	511
SIPA1L2	416
SIPA1L2	507
SIPA1L2	6555
OLFM3	2189
OLFM3	2926
OLFM3	3255
OLFM3	2955
OLFM3	817
OLFM3	2801
TSNAX-DISC1	2569
TSNAX-DISC1	2647
TSNAX-DISC1	3429
TSNAX-DISC1	3429
TSNAX-DISC1	3294
TSNAX-DISC1	3557
TSNAX-DISC1	3048
TSNAX-DISC1	3454
ACOT1	1713
ACOT1	1271
ZSCAN18	2071
ZSCAN18	2779
ZSCAN18	5729
ZSCAN18	2429
ZSCAN18	2190
ZSCAN18	1488
ZSCAN18	1934
ZSCAN18	155
ZSCAN18	567
ZSCAN18	1042
ZSCAN18	2004
ZSCAN18	946
ZSCAN18	761
ZSCAN18	342
ZSCAN18	558
ZSCAN18	1768
ZSCAN18	550
ABCA10	362
ABCA10	531
ABCA10	6362
ABCA10	6125
ABCA10	1267
ABCA10	2183
ABCA10	5375
ABCA10	4875
ABCA10	472
ABCA10	1311
ABCA10	584
ABCA10	568
GSTM4	1412
GSTM4	772
GSTM4	804
GSTM4	646
GSTM4	1321
GSTM4	1159
GSTM4	3990
GSTM4	848
GSTM4	654
GSTM4	921
GSTM4	913
GSTM4	657
GSTM4	657
GJA9-MYCBP	3231
GJA9-MYCBP	2381
GJA9-MYCBP	477
GJA9-MYCBP	609
CEP41	6513
CEP41	2188
CEP41	1269
CEP41	1087
CEP41	2368
CEP41	661
CEP41	689
CEP41	827
CEP41	557
CEP41	561
CEP41	592
CEP41	583
CEP41	516
CEP41	338
CEP41	3161
CEP41	733
CEP41	424
CEP41	3315
CEP41	6222
MYCBP	2818
MYCBP	750
MYCBP	819
MYCBP	341
TCL1A	1391
TCL1A	872
TCL1A	980
TCL1A	913
TCL1A	813
TCL1A	368
TCL1A	882
TCL1A	717
TCL1A	1395
GCDH	1956
GCDH	523
GCDH	1109
GCDH	1867
GCDH	496
GCDH	1871
GCDH	562
GCDH	453
GCDH	1051
GCDH	791
GCDH	1730
GCDH	475
GCDH	1764
GCDH	545
GCDH	423
GCDH	1006
KLHL20	450
KLHL20	3421
KLHL20	921
KLHL20	953
KLHL20	669
TENT5B	2368
TNFSF18	2008
NCOR2	8533
NCOR2	8520
NCOR2	8475
NCOR2	563
NCOR2	951
NCOR2	532
NCOR2	499
NCOR2	956
NCOR2	2910
NCOR2	321
NCOR2	467
NCOR2	674
NCOR2	4675
NCOR2	1277
NCOR2	452
NCOR2	557
NCOR2	582
NCOR2	1752
NCOR2	339
NCOR2	828
NCOR2	735
NCOR2	746
NCOR2	7175
NCOR2	7226
MAML1	5723
MAML1	392
MAML1	890
SOWAHA	3211
FAM89A	1495
FAM89A	1576
FAM89A	983
EBPL	810
EBPL	967
EBPL	766
EBPL	1026
EBPL	914
EBPL	579
EBPL	680
ZNF417	386
ZNF417	3597
ZNF417	1975
ZNF417	580
ZNF417	583
ZNF417	550
ZNF417	566
TGFB1	559
TGFB1	2769
TGFB1	399
TGFB1	392
DNASE2	1955
DNASE2	727
DNASE2	745
DNASE2	707
KCNN4	1270
KCNN4	1003
KCNN4	631
KCNN4	983
KCNN4	1406
KCNN4	648
KCNN4	687
KCNN4	2029
KCNN4	1190
KCNN4	1956
KCNN4	2244
OPN1LW	1261
OPN1LW	692
OPN1LW	592
OR5K2	1060
DDX39B	1529
DDX39B	4027
DDX39B	2003
DDX39B	974
DDX39B	857
DDX39B	2133
DDX39B	2039
DDX39B	617
DDX39B	561
DDX39B	439
DDX39B	1232
DDX39B	914
DDX39B	5158
DDX39B	1005
DDX39B	817
DDX39B	928
DDX39B	932
DDX39B	633
DDX39B	591
DDX39B	720
DDX39B	583
DDX39B	583
DDX39B	659
LY6G6D	1266
LY6G6D	402
LY6G6D	523
LY6G6D	493
METTL18	1426
METTL18	1521
METTL18	850
SALL2	4942
SALL2	1566
SALL2	1466
SALL2	3094
SALL2	3178
SALL2	659
SALL2	553
PLA2G2F	2723
PLA2G2F	4129
CDHR2	4509
CDHR2	575
CDHR2	4068
CDHR2	4005
CDHR2	849
CDHR2	577
CDHR2	488
GADD45A	688
GADD45A	874
GADD45A	1093
GADD45A	753
GADD45A	651
GADD45A	1496
GADD45A	902
C19orf33	467
C19orf33	520
C19orf33	462
C19orf33	502
H2BFS	460
STAMBP	6277
STAMBP	1012
STAMBP	695
STAMBP	6386
STAMBP	6691
STAMBP	845
STAMBP	955
STAMBP	560
STAMBP	1156
STAMBP	583
STAMBP	1649
GLE1	778
GLE1	2218
GLE1	3321
CCNI2	2642
CCNI2	490
CCNI2	376
CCNI2	2355
KLHL8	3245
KLHL8	606
KLHL8	593
KLHL8	1924
KLHL8	2399
KLHL8	5621
KLHL8	5175
KLHL8	4049
FAIM2	547
FAIM2	433
FAIM2	980
FAIM2	815
FAIM2	1047
FAIM2	2094
FAIM2	4654
PNP	557
PNP	1509
PNP	1023
PNP	992
PNP	1635
PNP	770
PNP	554
PNP	2573
XCL2	565
XCL1	1367
FAM71D	543
FAM71D	1754
FAM71D	552
FAM71D	1589
FAM71D	1270
FAM71D	1651
FAM71D	2136
FAM71D	374
FAM71D	359
FAM71D	421
FAM71D	1790
NPR1	4236
NPR1	473
NPR1	1706
UTP14C	5529
USP34	1409
USP34	795
USP34	572
USP34	927
USP34	348
USP34	228
USP34	2708
USP34	612
USP34	560
USP34	365
USP34	515
USP34	556
USP34	776
USP34	531
USP34	606
USP34	497
USP34	1793
USP34	6307
USP34	1827
USP34	527
USP34	11357
USP34	4309
MRPL24	560
MRPL24	883
MRPL24	883
MRPL24	990
MRPL24	514
MRPL24	448
ALG11	1404
ALG11	843
ALG11	1983
ALG11	549
ALG11	4248
ALG11	2558
ALG11	764
ALG11	4574
C6orf10	2173
C6orf10	2148
C6orf10	1891
C6orf10	1879
C6orf10	2131
GCFC2	423
GCFC2	3648
GCFC2	4440
GCFC2	443
GCFC2	2516
GCFC2	632
GCFC2	2265
GCFC2	595
GCFC2	642
GCFC2	1066
GCFC2	4318
KRTAP19-2	380
DPT	1786
OXGR1	2285
OXGR1	1305
OXGR1	588
OXGR1	643
INIP	4233
INIP	964
INIP	874
INIP	879
INIP	713
INIP	412
KRTAP19-3	522
KRTAP19-4	310
KRTAP19-5	461
MCL1	3932
MCL1	1099
MCL1	1110
MCL1	3626
KMT5A	3140
KMT5A	1774
KMT5A	352
KMT5A	725
KMT5A	1000
KMT5A	747
KMT5A	901
KMT5A	454
KMT5A	3069
RNF44	4155
RNF44	848
RNF44	1647
RNF44	596
RNF44	662
RNF44	887
RNF44	785
RNF44	372
EGFL7	2125
EGFL7	1529
EGFL7	723
EGFL7	456
EGFL7	654
EGFL7	1282
EGFL7	1747
PREX2	566
PREX2	425
PREX2	3015
PREX2	10750
PREX2	3612
LMBRD2	8185
LMBRD2	370
LMBRD2	418
KIR2DL1	1320
SLC6A3	3936
SLC6A3	556
SLC6A3	950
VWC2	11299
ADAMTSL4	4250
ADAMTSL4	4319
ADAMTSL4	1803
ADAMTSL4	4167
ADAMTSL4	1826
ADAMTSL4	2908
RILPL2	6141
RPH3A	1043
RPH3A	568
RPH3A	2535
RPH3A	2349
RPH3A	5188
RPH3A	569
RPH3A	547
RPH3A	562
RPH3A	2429
RPH3A	4452
RPH3A	548
RPH3A	2961
RPH3A	595
RPH3A	579
RPH3A	492
RPH3A	557
RPH3A	561
RPH3A	561
RPH3A	660
RPH3A	538
RPH3A	572
RPH3A	4679
RPH3A	2581
RPH3A	740
RPH3A	531
RPH3A	570
RPH3A	534
ZPBP	610
ZPBP	546
ZPBP	1213
ZPBP	1095
ZPBP	589
ZPBP	491
COMMD10	1469
COMMD10	870
COMMD10	869
COMMD10	793
COMMD10	572
COMMD10	842
COMMD10	1433
DYNC1I1	2947
DYNC1I1	575
DYNC1I1	2950
DYNC1I1	2249
DYNC1I1	2895
DYNC1I1	2843
DYNC1I1	958
DYNC1I1	540
DYNC1I1	2393
DYNC1I1	774
DYNC1I1	790
DYNC1I1	2146
CCDC181	1491
CCDC181	427
CCDC181	1860
CCDC181	1914
CCDC181	2035
CCDC181	1652
CCDC181	1246
CCT2	364
CCT2	758
CCT2	567
CCT2	852
CCT2	1754
CCT2	2189
CCT2	572
CCT2	1728
CCT2	776
CCT2	536
CCT2	481
CCT2	683
CCT2	595
CCT2	2041
KRTAP19-6	330
SLC2A5	455
SLC2A5	676
SLC2A5	755
SLC2A5	889
SLC2A5	758
SLC2A5	846
SLC2A5	684
SLC2A5	2344
SLC2A5	522
SLC2A5	4165
KRTAP19-7	440
SNRNP35	1975
SNRNP35	382
SNRNP35	2161
SNRNP35	561
SNRNP35	1140
