Gene name	Transcript length (including UTRs and CDS)
RF00019	117
AC012314.34	353
RNU6-516P	104
RF00019	107
RNU7-14P	62
RNU6-927P	100
RNU6-1273P	104
MIR1287	90
SNORA70E	135
RF00017	302
MIR4427	68
RNU6-588P	105
RF01210	104
RF00019	108
SNORD36C	66
MIR4252	63
RNU6-1016P	94
RF00181	75
MIR5692A2	59
SNORD114-27	70
SNORD92	85
RN7SL361P	298
RF00017	303
RF00019	102
RF00156	132
MIR4646	63
RNY1P16	111
RNU7-180P	63
RNU1-119P	165
SNORD115-44	82
RF00019	113
RNU6-951P	107
RF00409	145
RNA5SP22	109
RPL7A	891
RPL7A	947
RPL7A	1164
RPL7A	1057
RPL7A	941
RPL7A	743
RPL7A	680
RPL7A	966
RPL7A	374
RN7SKP109	316
RF00019	98
RNA5-8SN2	153
RNU6-912P	104
MIR548BA	56
RF00019	102
RNU6-1316P	108
RN7SL788P	316
RNA5SP262	126
RNU6-356P	107
RN7SL546P	290
SNORD115-39	82
RNU6-77P	91
MIR769	118
RNU6-904P	101
RF00492	143
TJP1	7230
TJP1	6990
TJP1	6757
TJP1	1636
RNU6-239P	99
RF00019	101
MIR6796	62
RNU6-1215P	102
SNORD60	83
RF00019	97
RNA5SP122	108
VARS2	4064
VARS2	3609
RF00019	102
RNU6-693P	107
RF01973	69
MIR1270	83
SNORD15A	148
RNU6-796P	107
MIR4659A	81
RNA5SP192	120
SNORD115-33	82
MIR21	72
RF00322	133
RN7SL317P	329
RNU6-861P	106
RF00019	105
RF00003	148
RF00019	95
MIR4642	82
RNA5SP126	109
RNU6-460P	108
RNU1-29P	126
RN7SL156P	304
RNY3P9	106
RF00019	102
RF00560	126
MIR607	96
MIR3621	85
RF00019	102
MIR3199-1	88
RNA5SP526	87
MIR6848	70
RNU1-93P	169
RF00019	106
RF00019	112
RF00026	70
MIR548AG2	64
MIR6838	56
RF00026	107
RNU4-36P	144
MIR1275	80
RF00017	281
MIR7150	94
RNA5SP272	111
MIR517A	87
SNORD117	76
RNU6-205P	107
AC012314.18	353
RN7SL687P	285
MIR4637	84
MIR6784	67
MIR4540	55
RF00019	103
MIR4763	92
RF00019	109
SNORD114-11	75
SNORD56B	71
MIR182	110
RF00019	102
MIR592	97
RF00004	191
RNA5SP267	126
RF02137	98
RNY3P1	102
MIR433	93
RNU6-129P	107
RF00019	103
RF00019	113
RF00017	268
SNORA54	123
RNU6-206P	104
RF00019	113
MIR4639	69
MIR3160-1	85
RF00012	216
RF00019	109
RNU6-826P	104
RF00026	83
RNU6-987P	104
MIR4732	76
MIR5699	90
RNU6-944P	107
RNU6-171P	107
MIR365A	87
MIR4255	72
SNORD14D	87
RNA5SP438	112
RF00026	107
RNU7-134P	64
RNU6-1113P	107
RN7SL384P	298
RNU1-31P	176
SNORA41B	128
RF00019	102
SNORD88A	91
RF00424	184
MIR5191	120
RF00026	107
RN7SL738P	297
RNU6-14P	106
SNORA81	178
RF00554	134
RNU6-523P	54
MIR1827	66
RNU2-69P	100
RF00019	96
RN7SL186P	297
RNU6-416P	103
MIR6751	63
RF00019	93
RF00411	133
RNU6-544P	107
RNA5SP95	137
MBOAT7	2598
MBOAT7	2471
MBOAT7	2392
OSCAR	2061
OSCAR	2049
OSCAR	2016
OSCAR	1547
OSCAR	1358
RNU4-85P	123
RF00004	100
RN7SL563P	298
RF00019	110
RNU6-902P	91
RNA5SP269	137
RNA5-8SP7	155
RN7SL125P	294
SNORD18A	72
RF00019	102
RF00156	138
SCARNA20	131
SNORD114-16	70
RF00568	122
SNORD115-38	82
RF00012	239
RNU6-221P	99
RN7SL760P	270
RF00019	113
RF00019	108
RF00012	208
RN7SKP250	321
RNU6-653P	106
NLRP2	3542
NLRP2	3573
NLRP2	3507
NLRP2	3504
RN7SL698P	302
RNU6ATAC4P	126
RN7SL581P	309
SNORD113-1	69
RNU6-435P	105
RNA5SP453	119
RN7SL600P	299
RF00092	131
RF00019	100
SNORD32B	84
RNA5SP452	119
RF00561	128
RF00019	112
RF00402	82
RF00537	92
RNU1-92P	135
RNA5SP405	114
RN7SL73P	252
RF00019	103
RNU6-994P	111
RF02271	176
RNA5S14	119
SNORD32B	84
RF00019	101
RNU4-35P	141
RN7SKP193	306
SNORD115-32	82
RF00012	213
AC018816.2	353
SNORA28	126
RNU6-244P	104
SNORA1B	133
RF02202	75
SNORD115-18	82
RNA5SP357	119
RNA5SP422	111
RN7SL584P	297
MIR1206	59
TSEN34	2297
TSEN34	1915
TSEN34	2421
MIR4436A	85
RNY3P16	101
MIR4684	82
RF00019	101
AL662852.3	414
MIR34A	110
MIR4507	52
RN7SL334P	279
SNORD88C	91
MIR6078	100
RNU6-685P	95
RN7SL159P	292
MIR770	98
MIR4311	100
RNU5F-6P	116
RF00019	102
RN7SL475P	298
RF00019	103
RN7SKP33	340
RNU6-3P	107
RNU6ATAC36P	80
RNU6-127P	107
RF00019	102
RF02271	186
AC012314.33	2269
AC012314.33	2183
RF00096	133
RNU6-343P	104
SURF6	4447
SURF6	935
RNA5SP527	127
MIR6125	96
RNU1-107P	154
RF00019	109
MIR1302-4	150
MIR8055	97
RN7SL776P	268
MIR3670-3	65
RNU6-500P	107
RF00108	93
RN7SKP163	330
RNU6-505P	107
MIR139	68
MIR3651	90
RF00443	134
RN7SL101P	279
MIR155	65
MIR6090	60
RNU4ATAC9P	126
RNU6-795P	103
RF00019	109
MIR6802	65
RN7SL456P	295
SNORA19	128
ASH1L-IT1	448
FAM71E1	443
FAM71E1	1281
FAM71E1	653
FAM71E1	1225
FAM71E1	844
FAM71E1	576
ACTG1P21	1000
MYBPC2	3593
MYBPC2	427
RCN3	1859
RCN3	549
RCN3	223
RCN3	607
RCN3	595
AC069209.1	651
KIR3DL3	1604
ARFGEF3	14877
LACTB	1972
LACTB	2978
LACTB	552
LACTB	359
AL357140.2	440
PSAT1P2	972
TRIAP1	1182
TRIAP1	1153
SLC26A4-AS1	795
SLC26A4-AS1	666
SLC26A4-AS1	634
SLC26A4-AS1	517
SLC26A4-AS1	457
SLC26A4-AS1	3840
SLC26A4-AS1	718
SLC26A4-AS1	586
AC003982.1	365
TRPV5	2952
TRPV5	2025
TRPV5	2120
CRSP8P	936
COX6CP15	211
AL133445.2	527
OR2T10	3519
OR2T10	1049
LINC01848	518
OR2M4	5934
OR2M4	936
ZNF574	3309
ZNF574	3598
ZNF574	858
ZNF574	2940
HLA-DQB3	356
UBE2DNL	740
UBE2DNL	465
UBE2DNL	471
UBE2DNL	222
RABGGTB	3863
RABGGTB	1496
RABGGTB	721
RABGGTB	788
RABGGTB	512
RABGGTB	1319
RABGGTB	569
RABGGTB	848
RABGGTB	2137
RABGGTB	961
RABGGTB	1702
RABGGTB	586
RABGGTB	468
RABGGTB	1177
MTCO3P1	831
PPOX	1686
PPOX	1740
PPOX	816
PPOX	963
PPOX	965
PPOX	816
PPOX	813
PPOX	2471
PPOX	904
PPOX	664
PPOX	1056
PPOX	473
PPOX	892
PPOX	1165
PPOX	514
PPOX	734
PPOX	1193
PPOX	728
PPOX	784
FKBP11	4957
FKBP11	517
FKBP11	630
FKBP11	1030
FKBP11	524
FKBP11	2661
FKBP11	725
FKBP11	1052
FKBP11	959
FKBP11	873
FKBP11	482
FKBP11	517
FKBP11	508
HDX	6200
HDX	6158
HDX	2924
HDX	1718
HDX	786
HDX	475
AL157871.5	533
AL157871.1	429
AL157871.1	478
RND1	552
RND1	1681
RND1	2136
RND1	1989
RND1	482
RND1	793
AC024937.2	1242
AC127070.2	3263
LENEP	649
LENEP	555
SYCP2	5567
SYCP2	625
SYCP2	3341
SYCP2	580
SYCP2	729
SYCP2	579
SYCP2	584
SYCP2	488
SYCP2	5479
AL390728.4	1465
AL390728.4	430
AL390728.4	637
AL390728.4	660
AL096829.1	457
AC093156.1	670
AC005606.1	504
AL713866.2	219
AC124944.3	1304
AC124944.3	2040
AC124944.3	3508
AC124944.3	150
ZNF598	3382
ZNF598	3371
ZNF598	4457
ZNF598	815
ZNF598	2717
ZNF598	889
ZNF598	2147
ZNF598	786
ZNF598	775
LINC01701	451
PKNOX2-AS1	586
AL035417.1	214
OOSP1P1	274
TRBC1	760
PRSS1	803
PRSS1	1433
PRSS1	800
PRSS1	581
PRSS1	626
PRSS1	1260
PRSS1	787
BTNL2	1462
BTNL2	846
BTNL2	333
BTNL2	845
BTNL2	738
BTNL2	1368
CACNB3	477
CACNB3	754
CACNB3	1814
CACNB3	929
CACNB3	4029
CACNB3	1872
CACNB3	581
CACNB3	544
CACNB3	677
CACNB3	557
CACNB3	746
CACNB3	564
CACNB3	549
CACNB3	904
CACNB3	2237
CACNB3	2696
CACNB3	576
CACNB3	586
CACNB3	2395
CACNB3	2825
CACNB3	1712
CACNB3	424
CACNB3	730
CACNB3	927
PGBD4P1	407
BX323046.1	535
AL023284.3	334
AL023284.3	543
COX20	2631
COX20	568
COX20	1005
COX20	2290
COX20	2616
AL356273.3	1989
AL356273.1	1152
APOBEC4	2650
APOBEC4	476
KIR3DL3	1691
AL139220.2	482
AL139220.2	142
AL139220.2	454
AL139220.2	456
AL139220.2	276
AL139220.2	333
AL139220.2	2644
AL139220.2	352
AL139220.2	826
AL139220.2	596
AL139220.2	754
AL139220.2	707
AL139220.2	674
AL139220.2	614
AL139220.2	654
AL139220.2	760
AL139220.2	940
AL139220.2	830
AL139220.2	1796
AL139220.2	566
AL139220.2	395
AL139220.2	756
AL139220.2	921
AC112184.1	312
COLGALT2	2412
COLGALT2	2148
COLGALT2	4723
COLGALT2	5177
COLGALT2	2325
THBS4	573
THBS4	564
THBS4	3222
THBS4	3094
THBS4	612
THBS4	853
THBS4	558
AC004812.1	146
ZNF507	7638
ZNF507	5560
ZNF507	5764
ZNF507	3194
ZNF507	1102
AL139220.1	520
CCDC24	2654
CCDC24	1463
CCDC24	773
CCDC24	1230
CCDC24	1659
CCDC24	728
CCDC24	860
CCDC24	982
CCDC24	697
CCDC24	789
CCDC24	400
SH3BGR	1014
SH3BGR	816
SH3BGR	812
SH3BGR	585
SH3BGR	780
SH3BGR	1251
SH3BGR	865
SH3BGR	246
SH3BGR	512
TRMT112P2	132
AC135803.1	565
VDAC3P1	850
RPS18	613
RPS18	589
RPS18	639
RPS18	685
RPS18	642
RPS18	996
RPS18	1109
RPS18	413
TSEN15	1986
TSEN15	1844
TSEN15	1967
TSEN15	812
TSEN15	2219
TSEN15	1834
TSEN15	2368
TSEN15	996
TSEN15	609
TSEN15	730
TSEN15	1639
TSEN15	1521
TSEN15	2247
TSEN15	1628
TSEN15	584
TSEN15	1110
TSEN15	2237
TSEN15	1101
TSEN15	417
TSEN15	2690
TMEM218	1828
TMEM218	4547
TMEM218	1117
TMEM218	857
TMEM218	954
TMEM218	1103
TMEM218	1034
TMEM218	773
TMEM218	972
TMEM218	812
TMEM218	734
TMEM218	848
TMEM218	706
TMEM218	910
TMEM218	873
TMEM218	584
TMEM218	553
RPS26P4	355
AC117498.3	511
WASH8P	1817
ACTN1-AS1	599
ACTN1-AS1	484
RPS29P1	159
WRB	1178
WRB	1437
WRB	1427
WRB	1616
WRB	1534
WRB	1392
WRB	2255
WRB	3147
WRB	537
WRB	581
WRB	1292
WRB	699
WRB	1437
WRB	541
WRB	768
WRB	1464
WRB	1416
WRB	2029
WRB	923
WRB	624
WRB	366
WRB	2093
WRB	461
WRB	321
KIR2DL3	1579
DHRS1	528
DHRS1	1181
DHRS1	719
DHRS1	1480
DHRS1	2660
DHRS1	1470
DHRS1	1623
DHRS1	2027
DHRS1	629
DHRS1	565
DHRS1	609
SLC6A4	6543
SLC6A4	1069
SLC6A4	566
SLC6A4	2160
SLC6A4	6604
VPS52	3338
VPS52	2960
VPS52	2602
VPS52	743
VPS52	878
VPS52	505
VPS52	547
VPS52	786
VPS52	453
VPS52	925
VPS52	1060
CRYZ	1592
CRYZ	1888
CRYZ	2899
CRYZ	1292
CRYZ	888
CRYZ	677
CRYZ	2301
DDX18P1	1992
DCAF5	5953
DCAF5	4803
DCAF5	2791
DCAF5	2883
DCAF5	869
DCAF5	728
DCAF5	2837
DCAF5	759
DCAF5	736
SHC1	3472
SHC1	3481
SHC1	2879
SHC1	3062
SHC1	3059
SHC1	727
SHC1	1305
SHC1	780
SHC1	550
SHC1	692
SHC1	780
AL445228.1	333
AL445228.2	952
AL078645.1	423
AL078645.2	1325
C1orf21	10265
C1orf21	3072
C1orf21	426
C1orf21	644
C1orf21	399
AC007773.1	972
DPY19L3	2456
DPY19L3	500
DPY19L3	5925
DPY19L3	6015
DPY19L3	529
DPY19L3	882
DPY19L3	3589
DPY19L3	5968
DPY19L3	556
DPY19L3	546
DPY19L3	546
DPY19L3	5998
AL713852.1	1677
AC104984.1	697
KIR3DL1	1658
KIR3DL1	1810
FAM161A	3579
FAM161A	4027
FAM161A	3762
FAM161A	3684
FAM161A	630
FAM161A	699
FAM161A	1897
EDEM3	6898
EDEM3	2872
EDEM3	491
EDEM3	1911
EDEM3	487
EDEM3	6678
MYL6P2	434
RASEF	5576
RASEF	1765
HCG25	759
HCG25	702
HCG25	677
HCG25	469
TRBV23-1	347
ITLN1	1183
ITLN1	592
ITLN1	498
TYW3	3430
TYW3	1130
TYW3	708
TYW3	513
TYW3	632
TYW3	551
TYW3	653
TYW3	3335
FGR	2729
FGR	2350
FGR	2021
FGR	1104
FGR	679
FGR	781
FGR	2483
AL391262.1	494
FAM129A	602
FAM129A	6928
FAM129A	3118
FAM129A	904
FAM129A	521
PHF19	4113
PHF19	4241
PHF19	1092
PHF19	550
PHF19	553
PHF19	566
PHF19	565
PHF19	578
PHF19	506
PHF19	556
PHF19	558
PHF19	836
PHF19	888
PHF19	3525
KIR2DP1	1280
AL354714.2	1097
KIR2DS4	1295
AL023284.1	276
KIR2DL4	1536
AL023284.4	374
ILF3	4230
ILF3	3671
ILF3	2622
ILF3	839
ILF3	599
ILF3	953
ILF3	413
ILF3	791
ILF3	637
ILF3	3035
ILF3	3866
ILF3	2697
ILF3	3219
ILF3	533
ILF3	655
ILF3	773
ILF3	849
ILF3	620
ILF3	570
ILF3	475
ILF3	531
ILF3	2579
ILF3	3859
ILF3	6119
AC133865.1	339
LINC01633	1091
AC099786.3	1410
ITLN2	1151
ITLN2	884
ITLN2	591
AL354714.3	575
RNF2	3606
RNF2	1677
RNF2	631
RNF2	939
AL354714.4	590
AL354714.1	2136
AC099786.1	670
LHX8	2373
LHX8	1764
LHX8	2244
KIR2DL1	1320
TEAD2	2191
TEAD2	2141
TEAD2	2167
TEAD2	2164
TEAD2	2440
TEAD2	1444
TEAD2	566
TEAD2	581
TEAD2	579
TEAD2	209
FTH1P25	469
AL359317.2	1826
AL359317.2	553
AL359317.2	538
AL359317.1	578
AC099786.2	2203
GALNT16	630
GALNT16	579
GALNT16	604
GALNT16	5708
GALNT16	5548
GALNT16	2270
GALNT16	1629
GALNT16	520
GALNT16	568
GALNT16	340
KIR3DP1	879
KIR3DP1	1223
TRMT1L	4392
TRMT1L	706
TRMT1L	735
TRMT1L	619
FAM138D	1187
FAM138D	1199
AL591806.3	2096
AL591806.3	813
AC008467.1	5471
C6orf10	2173
C6orf10	2148
C6orf10	2125
C6orf10	2179
C6orf10	2173
C6orf10	2131
C6orf10	1904
TSTD1	591
TSTD1	626
TSTD1	574
TSTD1	457
TSTD1	593
TSTD1	477
TSTD1	813
AL591806.2	173
USP10	3009
USP10	888
USP10	571
USP10	254
USP10	570
USP10	3070
USP10	561
USP10	569
USP10	1315
USP10	2717
USP10	590
USP10	730
USP10	502
USP10	575
USP10	574
USP10	540
USP10	465
USP10	572
USP10	330
F11R	4835
F11R	1245
F11R	577
F11R	571
F11R	558
F11R	4770
HTR2B	2246
AL356273.2	973
SWT1	3001
SWT1	3830
SWT1	633
RNU6-477P	107
RN7SL5P	321
RN7SL231P	272
RNA5SP509	119
RF02271	169
RNU6-152P	107
RN7SKP176	318
RF00015	127
RF00019	113
RF01518	90
RN7SL536P	290
RN7SKP154	290
RNA5SP387	106
MIR4999	91
RN7SL668P	303
RF02218	68
RNU6-915P	103
MIR4298	73
RF00554	162
RNY1P12	105
RNU6-151P	107
RN7SL797P	297
RF00019	94
MIR30D	70
RNU7-92P	76
RNA5SP306	107
